id,time,outerdevice_id,outerdevice_parameter_id,value,create_at,create_user,elec
41404674,6:00:00 PM,1370,21,1822242.38,0.023908565,DeviceDataService,216.38
41404867,7:00:00 PM,1370,21,1822438,0.023908565,DeviceDataService,195.62
41405060,8:00:00 PM,1370,21,1822620.75,0.023908565,DeviceDataService,182.75
41405253,9:00:00 PM,1370,21,1822790.38,0.023908565,DeviceDataService,169.63
41405446,10:00:00 PM,1370,21,1822949.62,0.023908565,DeviceDataService,159.24
41405639,11:00:00 PM,1370,21,1823078.75,0.023908565,DeviceDataService,129.13
41405850,12:00:00 AM,1370,21,1823172.38,0.023983796,DeviceDataService,93.63
41406043,1:00:00 AM,1370,21,1823265.5,0.023983796,DeviceDataService,93.12
41406236,2:00:00 AM,1370,21,1823356.75,0.023983796,DeviceDataService,91.25
41406429,3:00:00 AM,1370,21,1823441.12,0.023983796,DeviceDataService,84.37
41406622,4:00:00 AM,1370,21,1823523.62,0.023983796,DeviceDataService,82.5
41406815,5:00:00 AM,1370,21,1823604.38,0.023983796,DeviceDataService,80.76
41407008,6:00:00 AM,1370,21,1823691.25,0.023983796,DeviceDataService,86.87
41407201,7:00:00 AM,1370,21,1823780,0.023983796,DeviceDataService,88.75
41407394,8:00:00 AM,1370,21,1823869.12,0.023983796,DeviceDataService,89.12
41407587,9:00:00 AM,1370,21,1823962.38,0.023983796,DeviceDataService,93.26
41407780,10:00:00 AM,1370,21,1824067.25,0.023983796,DeviceDataService,104.87
41407973,11:00:00 AM,1370,21,1824177.62,0.023983796,DeviceDataService,110.37
41408166,12:00:00 PM,1370,21,1824292.88,0.023983796,DeviceDataService,115.26
41408359,1:00:00 PM,1370,21,1824409.62,0.023983796,DeviceDataService,116.74
41408552,2:00:00 PM,1370,21,1824529.62,0.023983796,DeviceDataService,120
41408745,3:00:00 PM,1370,21,1824653.62,0.023983796,DeviceDataService,124
41408938,4:00:00 PM,1370,21,1824777.62,0.023983796,DeviceDataService,124
41409131,5:00:00 PM,1370,21,1824902,0.023983796,DeviceDataService,124.38
41409324,6:00:00 PM,1370,21,1825024.75,0.023983796,DeviceDataService,122.75
41409517,7:00:00 PM,1370,21,1825148.75,0.023983796,DeviceDataService,124
41409710,8:00:00 PM,1370,21,1825264,0.023983796,DeviceDataService,115.25
